LABEL,SENSOR_A,SENSOR_B,TIME,container_id
NOISE,44,-118,2015-03-15T03:53:59.400071,12
UNLOAD_SHIP,-229,-3,2015-03-15T15:43:19.276438,12
NOISE,45,43,2015-03-17T03:05:58.276438,12
LOAD_TRAIN,137,43,2015-03-18T12:19:33.613797,12
DEPART_TRAIN,-20,116,2015-03-19T19:28:12.602220,12
NOISE,79,10,2015-06-16T23:14:09.199928,13
UNLOAD_SHIP,-176,47,2015-06-17T23:02:03.496834,13
LOAD_TRAIN,122,32,2015-06-21T02:49:24.426736,13
DEPART_TRAIN,13,92,2015-06-22T09:02:55.345305,13
UNLOAD_SHIP,-236,9,2015-03-24T03:35:17.539927,14
NOISE,111,20,2015-03-24T17:28:43.539927,14
LOAD_TRAIN,97,43,2015-03-27T02:29:53.355860,14
DEPART_TRAIN,-20,-140,2015-03-28T03:04:18.166005,14
NOISE,30,96,2015-01-31T15:58:39.151367,15
UNLOAD_SHIP,-158,32,2015-02-01T04:15:00.106960,15
LOAD_TRAIN,81,23,2015-02-03T22:38:18.412844,15
DEPART_TRAIN,4,-126,2015-02-04T18:50:57.622974,15
UNLOAD_SHIP,-251,-36,2015-01-04T09:42:49.235880,16
LOAD_TRAIN,97,-3,2015-01-07T08:17:14.889234,16
NOISE,60,-50,2015-01-08T04:04:50.889234,16
DEPART_TRAIN,-18,95,2015-01-08T12:01:10.243640,16
NOISE,19,117,2015-01-08T16:48:30.243640,16
UNLOAD_SHIP,-156,38,2015-01-30T01:48:35.871540,17
NOISE,101,-62,2015-01-30T16:00:36.871540,17
LOAD_TRAIN,125,-24,2015-02-01T23:38:03.462919,17
DEPART_TRAIN,-8,-98,2015-02-02T22:49:50.902860,17
NOISE,18,-69,2015-02-19T11:30:58.034734,18
UNLOAD_SHIP,-282,27,2015-02-20T04:46:16.210254,18
LOAD_TRAIN,83,-44,2015-02-23T01:34:05.506859,18
DEPART_TRAIN,9,-55,2015-02-23T21:39:23.178364,18
UNLOAD_SHIP,-272,15,2015-10-12T03:07:28.012360,19
LOAD_TRAIN,80,40,2015-10-15T07:46:31.502420,19
NOISE,69,105,2015-10-15T10:57:04.502420,19
DEPART_TRAIN,-1,-110,2015-10-16T02:02:37.067265,19
NOISE,80,60,2015-10-16T14:59:22.067265,19
UNLOAD_SHIP,-265,6,2015-12-06T20:24:11.319643,20
LOAD_TRAIN,128,16,2015-12-09T14:19:24.185201,20
NOISE,47,-99,2015-12-10T07:34:00.185201,20
DEPART_TRAIN,-16,74,2015-12-10T12:11:36.913835,20
NOISE,95,2,2015-12-10T16:34:50.913835,20
NOISE,117,76,2015-01-18T21:56:02.265578,21
UNLOAD_SHIP,-258,26,2015-01-19T11:36:07.507404,21
LOAD_TRAIN,64,-41,2015-01-22T11:42:19.620724,21
NOISE,58,-4,2015-01-22T12:43:52.620724,21
NOISE,115,45,2015-01-23T03:37:26.620724,21
DEPART_TRAIN,35,-116,2015-01-23T14:31:50.142987,21
NOISE,101,87,2015-01-23T18:02:47.142987,21
NOISE,53,41,2015-01-23T23:33:01.142987,21
NOISE,51,-34,2015-04-24T01:14:17.805174,22
UNLOAD_SHIP,-182,-61,2015-04-25T06:38:46.406086,22
NOISE,104,85,2015-04-27T22:21:42.406086,22
LOAD_TRAIN,107,-42,2015-04-28T02:21:04.711439,22
DEPART_TRAIN,35,-89,2015-04-29T00:43:47.422302,22
UNLOAD_SHIP,-212,-11,2015-10-29T00:43:10.502717,23
LOAD_TRAIN,73,-16,2015-11-01T07:21:35.126706,23
NOISE,22,86,2015-11-01T15:08:10.126706,23
DEPART_TRAIN,22,-137,2015-11-02T10:22:33.259078,23
NOISE,14,-6,2015-11-02T12:16:38.259078,23
NOISE,13,-27,2015-01-09T07:08:32.008060,24
UNLOAD_SHIP,-156,44,2015-01-09T07:26:58.301017,24
NOISE,105,-77,2015-01-10T12:29:29.301017,24
LOAD_TRAIN,90,-45,2015-01-12T04:05:01.780348,24
DEPART_TRAIN,-18,68,2015-01-13T02:40:39.141502,24
UNLOAD_SHIP,-296,-28,2015-11-02T16:06:57.885951,25
LOAD_TRAIN,92,-18,2015-11-05T23:00:48.708806,25
NOISE,8,-96,2015-11-06T02:16:15.708806,25
NOISE,101,13,2015-11-06T17:58:13.708806,25
DEPART_TRAIN,-29,-122,2015-11-06T22:10:09.312326,25
NOISE,73,-67,2015-11-07T08:44:11.312326,25
NOISE,58,117,2015-11-07T19:59:51.312326,25
UNLOAD_SHIP,-134,55,2015-10-25T20:18:30.507178,26
NOISE,62,-88,2015-10-26T18:24:41.507178,26
LOAD_TRAIN,80,30,2015-10-28T19:58:37.365119,26
DEPART_TRAIN,-5,-143,2015-10-29T22:37:16.827158,26
UNLOAD_SHIP,-216,26,2015-10-19T19:24:13.628493,27
NOISE,19,71,2015-10-20T07:57:31.628493,27
LOAD_TRAIN,62,-47,2015-10-22T22:23:28.473391,27
DEPART_TRAIN,-37,-122,2015-10-24T03:21:37.246816,27
UNLOAD_SHIP,-242,-64,2015-07-22T10:01:04.248344,28
LOAD_TRAIN,98,-50,2015-07-25T04:57:14.791703,28
NOISE,65,-89,2015-07-25T13:17:58.791703,28
DEPART_TRAIN,-37,-67,2015-07-26T11:07:01.631359,28
NOISE,77,-34,2015-07-26T13:01:49.631359,28
UNLOAD_SHIP,-240,-36,2015-08-26T04:25:33.556284,29
LOAD_TRAIN,140,-14,2015-08-29T02:26:06.367832,29
DEPART_TRAIN,33,87,2015-08-30T07:03:32.030661,29
UNLOAD_SHIP,-193,14,2015-08-29T10:42:25.437048,30
LOAD_TRAIN,94,41,2015-09-01T16:40:12.881756,30
NOISE,71,28,2015-09-02T07:11:37.881756,30
DEPART_TRAIN,19,-55,2015-09-02T19:11:33.593095,30
NOISE,79,-66,2015-09-03T02:21:23.593095,30
UNLOAD_SHIP,-207,57,2015-09-09T20:55:40.175752,31
LOAD_TRAIN,73,26,2015-09-12T15:16:57.842364,31
NOISE,116,88,2015-09-13T05:19:21.842364,31
DEPART_TRAIN,-34,-123,2015-09-13T11:08:13.194727,31
NOISE,66,92,2015-09-13T15:29:53.194727,31
NOISE,84,-95,2015-03-14T03:40:00.986998,32
UNLOAD_SHIP,-282,13,2015-03-16T09:44:34.888267,32
LOAD_TRAIN,62,-48,2015-03-19T11:08:03.785232,32
NOISE,113,-65,2015-03-20T12:08:44.785232,32
DEPART_TRAIN,23,-107,2015-03-20T13:29:03.828939,32
NOISE,104,-25,2015-03-21T08:33:22.828939,32
NOISE,96,-61,2015-03-01T01:29:13.001342,33
UNLOAD_SHIP,-243,62,2015-03-02T05:31:46.255797,33
LOAD_TRAIN,139,-26,2015-03-05T12:24:36.833213,33
DEPART_TRAIN,-28,-67,2015-03-06T08:55:05.999669,33
NOISE,112,-73,2015-05-31T23:56:53.218507,34
NOISE,53,46,2015-06-01T23:53:37.218507,34
UNLOAD_SHIP,-223,-13,2015-06-03T06:41:34.231793,34
LOAD_TRAIN,83,25,2015-06-06T02:32:11.898189,34
NOISE,16,62,2015-06-06T11:20:30.898189,34
DEPART_TRAIN,-37,-105,2015-06-07T05:42:25.284075,34
NOISE,115,26,2015-06-07T08:06:41.284075,34
NOISE,78,-22,2015-09-16T08:51:23.073991,35
UNLOAD_SHIP,-198,-65,2015-09-16T12:45:43.933828,35
NOISE,117,-12,2015-09-18T11:18:18.933828,35
LOAD_TRAIN,75,-3,2015-09-19T14:41:08.776240,35
DEPART_TRAIN,-29,132,2015-09-20T09:26:45.253502,35
NOISE,58,34,2015-11-20T09:08:22.834272,36
UNLOAD_SHIP,-293,-16,2015-11-21T09:21:29.706757,36
LOAD_TRAIN,85,-13,2015-11-24T08:41:33.396788,36
DEPART_TRAIN,36,-139,2015-11-25T09:32:23.365012,36
NOISE,81,32,2015-04-20T23:12:23.352899,37
UNLOAD_SHIP,-130,-5,2015-04-21T20:47:50.107900,37
NOISE,38,-46,2015-04-23T00:19:43.107900,37
LOAD_TRAIN,124,28,2015-04-24T14:40:56.707452,37
DEPART_TRAIN,-32,-103,2015-04-25T11:53:11.216295,37
NOISE,10,60,2015-03-30T07:02:08.324103,38
NOISE,43,56,2015-03-30T12:31:30.324103,38
UNLOAD_SHIP,-175,45,2015-03-31T02:51:33.512504,38
NOISE,101,-105,2015-03-31T10:14:04.512504,38
LOAD_TRAIN,124,-1,2015-04-03T07:11:11.100935,38
DEPART_TRAIN,18,-109,2015-04-04T05:01:15.353407,38
NOISE,16,-88,2015-09-01T07:04:54.476025,39
UNLOAD_SHIP,-174,-63,2015-09-02T18:30:29.492577,39
NOISE,21,98,2015-09-03T23:15:30.492577,39
LOAD_TRAIN,61,28,2015-09-05T15:08:14.300042,39
DEPART_TRAIN,8,-126,2015-09-06T22:07:02.190774,39
UNLOAD_SHIP,-160,43,2015-06-08T19:05:59.210323,40
NOISE,2,73,2015-06-10T13:24:29.210323,40
LOAD_TRAIN,101,-44,2015-06-11T21:37:55.910783,40
NOISE,22,10,2015-06-12T22:11:03.910783,40
DEPART_TRAIN,7,104,2015-06-13T04:48:07.021646,40
NOISE,34,76,2015-06-13T13:11:00.021646,40
UNLOAD_SHIP,-235,2,2015-05-07T03:32:03.521212,41
LOAD_TRAIN,135,-37,2015-05-10T01:15:18.583939,41
DEPART_TRAIN,-11,122,2015-05-10T18:57:05.200329,41
UNLOAD_SHIP,-131,-63,2015-02-16T01:50:47.110280,42
LOAD_TRAIN,63,-37,2015-02-19T06:09:31.471722,42
NOISE,33,13,2015-02-20T03:37:13.471722,42
DEPART_TRAIN,-1,58,2015-02-20T05:00:37.208507,42
NOISE,87,65,2015-02-21T06:11:46.208507,42
UNLOAD_SHIP,-252,-49,2015-08-12T20:09:35.628756,43
NOISE,61,-87,2015-08-15T06:07:57.628756,43
LOAD_TRAIN,102,-32,2015-08-15T18:43:40.575568,43
DEPART_TRAIN,26,60,2015-08-16T19:07:56.006922,43
UNLOAD_SHIP,-171,-52,2015-04-22T18:50:47.885076,44
LOAD_TRAIN,99,19,2015-04-25T15:05:03.800440,44
DEPART_TRAIN,-33,-72,2015-04-26T19:41:47.798970,44
UNLOAD_SHIP,-174,-31,2015-02-06T23:23:48.146040,45
LOAD_TRAIN,135,-42,2015-02-09T16:32:58.670124,45
NOISE,18,-97,2015-02-10T03:48:39.670124,45
DEPART_TRAIN,8,68,2015-02-10T14:00:15.892244,45
NOISE,10,75,2015-02-10T18:42:57.892244,45
NOISE,94,44,2015-07-09T03:06:30.024671,46
UNLOAD_SHIP,-230,-10,2015-07-09T21:57:13.061066,46
LOAD_TRAIN,103,-9,2015-07-13T00:37:31.243610,46
NOISE,37,-107,2015-07-13T22:31:19.243610,46
DEPART_TRAIN,26,-99,2015-07-14T03:08:07.491562,46
NOISE,98,28,2015-07-14T04:42:11.491562,46
NOISE,32,-10,2015-02-27T17:57:07.978785,47
UNLOAD_SHIP,-264,47,2015-02-27T18:43:52.367291,47
LOAD_TRAIN,126,44,2015-03-02T16:46:51.093886,47
DEPART_TRAIN,-7,140,2015-03-03T21:00:33.137698,47
NOISE,50,-12,2015-02-01T21:10:42.480567,48
NOISE,32,-78,2015-02-02T22:57:46.480567,48
UNLOAD_SHIP,-138,56,2015-02-03T10:59:33.589510,48
LOAD_TRAIN,129,11,2015-02-06T14:39:55.311082,48
NOISE,83,78,2015-02-06T20:05:10.311082,48
NOISE,38,-62,2015-02-07T10:27:21.311082,48
DEPART_TRAIN,37,-64,2015-02-07T16:39:09.551368,48
NOISE,76,54,2015-02-07T18:47:45.551368,48
NOISE,24,75,2015-02-08T16:23:01.551368,48
NOISE,7,62,2015-09-01T19:20:03.422866,49
UNLOAD_SHIP,-134,40,2015-09-01T20:08:35.901434,49
LOAD_TRAIN,82,42,2015-09-05T02:15:40.564069,49
DEPART_TRAIN,37,-115,2015-09-05T22:33:03.767180,49
NOISE,119,-111,2015-10-25T21:12:29.346039,50
UNLOAD_SHIP,-280,-61,2015-10-25T23:30:59.500508,50
LOAD_TRAIN,94,42,2015-10-28T21:45:32.223164,50
DEPART_TRAIN,38,116,2015-10-29T20:33:04.559991,50
NOISE,59,32,2015-04-04T01:27:18.178820,51
UNLOAD_SHIP,-242,-35,2015-04-05T03:58:07.471229,51
NOISE,32,27,2015-04-06T01:12:15.471229,51
LOAD_TRAIN,129,-38,2015-04-08T06:22:50.701493,51
DEPART_TRAIN,32,101,2015-04-09T10:21:05.288141,51
UNLOAD_SHIP,-151,27,2015-11-24T09:44:06.972276,52
NOISE,2,9,2015-11-26T08:41:42.972276,52
LOAD_TRAIN,136,5,2015-11-27T07:37:48.457142,52
DEPART_TRAIN,36,77,2015-11-28T03:42:02.269221,52
UNLOAD_SHIP,-164,-40,2015-05-28T17:50:43.284492,53
LOAD_TRAIN,70,-32,2015-05-31T22:22:33.314131,53
NOISE,71,39,2015-05-31T23:00:32.314131,53
NOISE,71,16,2015-06-01T13:32:12.314131,53
DEPART_TRAIN,14,-122,2015-06-01T15:43:09.170035,53
NOISE,110,68,2015-06-02T20:06:48.170035,53
NOISE,30,-6,2015-06-03T05:15:59.170035,53
UNLOAD_SHIP,-158,36,2015-07-11T13:57:23.805724,54
LOAD_TRAIN,107,-20,2015-07-14T09:48:01.053064,54
NOISE,24,32,2015-07-14T11:54:19.053064,54
DEPART_TRAIN,9,144,2015-07-15T07:46:28.771155,54
NOISE,73,-63,2015-07-15T13:02:21.771155,54
UNLOAD_SHIP,-139,-21,2015-01-02T23:08:46.632759,55
NOISE,74,22,2015-01-03T07:18:22.632759,55
LOAD_TRAIN,66,-1,2015-01-05T22:50:10.637323,55
NOISE,112,63,2015-01-07T03:32:26.637323,55
DEPART_TRAIN,-2,83,2015-01-07T05:21:18.797658,55
NOISE,106,85,2015-01-07T21:34:08.797658,55
UNLOAD_SHIP,-263,36,2015-06-30T03:47:54.143080,56
LOAD_TRAIN,88,-25,2015-07-03T07:16:47.570538,56
NOISE,6,-89,2015-07-03T14:55:38.570538,56
DEPART_TRAIN,40,137,2015-07-04T13:26:03.202938,56
NOISE,23,-33,2015-07-05T11:33:53.202938,56
UNLOAD_SHIP,-255,9,2015-07-14T07:51:38.612457,57
NOISE,66,-53,2015-07-16T17:23:13.612457,57
LOAD_TRAIN,74,-9,2015-07-17T00:57:44.561215,57
NOISE,39,-68,2015-07-17T01:56:23.561215,57
NOISE,17,-76,2015-07-17T23:26:52.561215,57
DEPART_TRAIN,-2,136,2015-07-17T23:38:28.249350,57
NOISE,111,81,2015-07-18T11:02:43.249350,57
NOISE,21,50,2015-07-18T16:18:55.249350,57
NOISE,23,45,2015-05-23T15:51:32.373002,58
UNLOAD_SHIP,-165,-65,2015-05-25T10:12:20.084509,58
LOAD_TRAIN,104,-14,2015-05-28T15:15:28.420746,58
DEPART_TRAIN,-18,-106,2015-05-29T14:19:53.122769,58
NOISE,108,-11,2015-07-24T12:25:49.370251,59
UNLOAD_SHIP,-231,-12,2015-07-25T19:06:31.734381,59
NOISE,79,-47,2015-07-28T16:05:15.734381,59
LOAD_TRAIN,64,17,2015-07-28T20:49:43.134409,59
DEPART_TRAIN,24,-121,2015-07-29T22:20:32.973481,59
NOISE,107,52,2015-05-29T03:27:49.149150,60
UNLOAD_SHIP,-236,63,2015-05-29T12:24:45.218330,60
LOAD_TRAIN,88,41,2015-06-01T10:32:26.260490,60
NOISE,8,0,2015-06-02T06:43:52.260490,60
DEPART_TRAIN,5,-109,2015-06-02T10:58:31.917663,60
NOISE,86,76,2015-06-02T15:43:04.917663,60
UNLOAD_SHIP,-190,-28,2015-12-28T00:19:29.960433,61
LOAD_TRAIN,73,-43,2015-12-31T03:53:02.580849,61
DEPART_TRAIN,-38,-143,2016-01-01T02:38:50.422443,61
NOISE,81,-78,2015-12-01T08:52:18.818786,62
UNLOAD_SHIP,-281,-43,2015-12-04T03:15:31.448200,62
NOISE,58,54,2015-12-06T19:27:43.448200,62
LOAD_TRAIN,138,36,2015-12-07T00:51:20.306876,62
DEPART_TRAIN,-20,-56,2015-12-07T18:53:36.666292,62
UNLOAD_SHIP,-176,42,2015-04-25T19:14:26.466613,63
LOAD_TRAIN,103,-28,2015-04-28T16:37:13.648964,63
NOISE,51,-56,2015-04-28T21:24:16.648964,63
DEPART_TRAIN,-11,-141,2015-04-29T12:39:17.752486,63
NOISE,93,33,2015-04-29T21:49:45.752486,63
UNLOAD_SHIP,-167,50,2015-10-30T23:59:32.481722,64
LOAD_TRAIN,133,-21,2015-11-02T16:52:58.920587,64
DEPART_TRAIN,4,-103,2015-11-03T18:16:31.142080,64
NOISE,22,23,2015-02-13T09:45:04.762501,65
UNLOAD_SHIP,-225,13,2015-02-14T09:16:37.788110,65
NOISE,74,-15,2015-02-15T23:37:03.788110,65
LOAD_TRAIN,104,7,2015-02-17T06:27:34.410889,65
NOISE,20,18,2015-02-17T11:33:28.410889,65
DEPART_TRAIN,14,-88,2015-02-18T10:29:46.439794,65
NOISE,11,109,2015-02-18T14:35:30.439794,65
UNLOAD_SHIP,-310,-27,2015-12-28T13:36:51.243989,66
NOISE,36,73,2015-12-31T07:17:58.243989,66
LOAD_TRAIN,131,17,2015-12-31T10:26:25.988443,66
DEPART_TRAIN,33,64,2016-01-01T12:12:05.701139,66
UNLOAD_SHIP,-201,30,2015-01-10T13:38:07.510441,67
NOISE,38,-14,2015-01-13T10:01:28.510441,67
LOAD_TRAIN,78,25,2015-01-13T17:53:40.903792,67
DEPART_TRAIN,-34,-65,2015-01-14T23:23:33.841209,67
UNLOAD_SHIP,-281,34,2015-03-31T20:08:32.192025,68
NOISE,87,-66,2015-03-31T23:37:10.192025,68
LOAD_TRAIN,96,-24,2015-04-04T00:21:25.027445,68
DEPART_TRAIN,19,-145,2015-04-05T01:43:30.342245,68
UNLOAD_SHIP,-250,-62,2015-05-05T19:52:38.636911,69
NOISE,88,119,2015-05-07T11:32:03.636911,69
LOAD_TRAIN,115,3,2015-05-08T18:28:16.295817,69
DEPART_TRAIN,17,-131,2015-05-09T20:12:15.486518,69
UNLOAD_SHIP,-146,18,2015-07-28T08:00:51.024925,70
LOAD_TRAIN,88,40,2015-07-31T06:14:56.240960,70
NOISE,106,-87,2015-07-31T15:36:45.240960,70
DEPART_TRAIN,-12,-105,2015-07-31T23:29:07.304391,70
NOISE,82,-55,2015-08-01T23:51:45.304391,70
NOISE,14,-40,2015-12-12T10:11:39.005214,71
UNLOAD_SHIP,-163,-62,2015-12-12T18:36:31.781017,71
LOAD_TRAIN,116,-42,2015-12-15T23:22:12.843904,71
DEPART_TRAIN,-17,92,2015-12-17T02:56:12.048605,71
NOISE,13,-88,2015-08-31T22:22:01.960933,72
UNLOAD_SHIP,-138,-63,2015-09-02T16:13:02.895861,72
LOAD_TRAIN,88,36,2015-09-05T12:45:05.645467,72
NOISE,8,-115,2015-09-05T13:27:34.645467,72
DEPART_TRAIN,-14,-60,2015-09-06T09:33:17.348907,72
NOISE,88,-7,2015-09-07T00:33:46.348907,72
NOISE,91,82,2015-08-29T06:29:48.162869,73
UNLOAD_SHIP,-291,-16,2015-08-31T07:15:11.825894,73
LOAD_TRAIN,62,-29,2015-09-03T11:41:47.701894,73
DEPART_TRAIN,-9,-82,2015-09-04T18:22:27.910496,73
UNLOAD_SHIP,-216,-33,2015-02-14T03:50:13.966966,74
LOAD_TRAIN,61,-24,2015-02-17T09:55:38.691121,74
DEPART_TRAIN,5,-71,2015-02-18T04:42:05.425788,74
UNLOAD_SHIP,-147,-64,2015-06-16T05:57:14.619141,75
LOAD_TRAIN,126,-11,2015-06-19T07:45:39.591224,75
DEPART_TRAIN,6,-73,2015-06-20T03:35:17.660156,75
NOISE,6,-11,2015-11-08T08:34:32.296283,76
UNLOAD_SHIP,-220,-22,2015-11-09T18:40:49.155264,76
NOISE,74,-15,2015-11-10T21:37:00.155264,76
LOAD_TRAIN,92,-43,2015-11-12T21:20:26.134641,76
DEPART_TRAIN,9,63,2015-11-13T22:20:27.659775,76
UNLOAD_SHIP,-228,-62,2015-05-03T22:30:09.360336,77
LOAD_TRAIN,93,37,2015-05-06T19:58:50.484562,77
NOISE,1,-116,2015-05-06T22:09:49.484562,77
DEPART_TRAIN,-5,-126,2015-05-07T20:06:00.821353,77
NOISE,17,-44,2015-05-08T03:07:48.821353,77
UNLOAD_SHIP,-277,-20,2015-08-31T07:58:19.524596,78
NOISE,114,-87,2015-09-02T08:44:32.524596,78
LOAD_TRAIN,112,34,2015-09-03T04:05:22.706956,78
NOISE,120,57,2015-09-04T03:44:46.706956,78
DEPART_TRAIN,22,-124,2015-09-04T08:31:17.119049,78
NOISE,32,42,2015-09-04T08:39:41.119049,78
NOISE,110,2,2015-08-12T06:32:37.490577,79
UNLOAD_SHIP,-266,56,2015-08-13T20:42:17.498497,79
NOISE,12,-42,2015-08-14T05:19:21.498497,79
NOISE,97,100,2015-08-16T00:58:43.498497,79
LOAD_TRAIN,75,34,2015-08-16T18:43:46.686101,79
NOISE,2,120,2015-08-17T01:07:47.686101,79
DEPART_TRAIN,2,-84,2015-08-17T13:55:52.761191,79
NOISE,71,68,2015-08-18T08:28:02.761191,79
UNLOAD_SHIP,-256,-5,2015-02-06T22:42:29.310885,80
NOISE,61,-2,2015-02-08T18:47:16.310885,80
LOAD_TRAIN,77,-15,2015-02-09T23:18:01.160614,80
DEPART_TRAIN,-15,-131,2015-02-10T22:43:19.791427,80
UNLOAD_SHIP,-221,15,2015-01-15T14:11:46.823546,81
LOAD_TRAIN,107,10,2015-01-18T10:22:56.050901,81
NOISE,3,43,2015-01-18T13:26:36.050901,81
DEPART_TRAIN,40,-117,2015-01-19T11:59:04.524933,81
NOISE,8,50,2015-01-19T13:33:15.524933,81
UNLOAD_SHIP,-149,-50,2015-01-05T09:01:34.393590,82
LOAD_TRAIN,77,-25,2015-01-08T15:42:57.808233,82
NOISE,80,-117,2015-01-09T11:35:07.808233,82
DEPART_TRAIN,-20,102,2015-01-09T15:23:45.325640,82
NOISE,1,78,2015-01-10T12:47:04.325640,82
UNLOAD_SHIP,-223,-45,2015-02-09T20:40:37.508894,83
LOAD_TRAIN,90,-5,2015-02-12T18:34:33.459944,83
DEPART_TRAIN,39,-110,2015-02-13T17:21:01.374305,83
UNLOAD_SHIP,-264,-11,2015-05-02T05:36:25.305340,84
NOISE,104,-64,2015-05-03T00:15:47.305340,84
LOAD_TRAIN,138,-47,2015-05-05T11:29:33.393173,84
NOISE,95,-13,2015-05-05T16:28:49.393173,84
DEPART_TRAIN,-19,-109,2015-05-06T06:09:22.384121,84
NOISE,18,-68,2015-05-06T11:20:17.384121,84
NOISE,90,41,2015-06-11T14:08:10.561028,85
UNLOAD_SHIP,-179,20,2015-06-12T07:52:07.983269,85
LOAD_TRAIN,72,-10,2015-06-15T07:25:31.188912,85
DEPART_TRAIN,-15,-69,2015-06-16T14:07:21.012369,85
NOISE,57,-2,2015-11-30T11:41:39.539498,86
UNLOAD_SHIP,-170,11,2015-12-01T04:35:01.885694,86
NOISE,58,-9,2015-12-04T06:39:43.885694,86
LOAD_TRAIN,75,30,2015-12-04T06:57:05.812915,86
NOISE,102,-94,2015-12-04T18:18:33.812915,86
DEPART_TRAIN,-10,107,2015-12-05T01:19:23.220987,86
NOISE,28,119,2015-12-06T09:54:19.220987,86
UNLOAD_SHIP,-257,-44,2015-02-22T08:09:31.595991,87
NOISE,120,107,2015-02-23T22:50:30.595991,87
LOAD_TRAIN,84,-48,2015-02-25T11:07:06.338221,87
DEPART_TRAIN,-40,142,2015-02-26T14:05:20.706006,87
NOISE,16,-77,2015-07-02T00:30:04.110287,88
UNLOAD_SHIP,-222,9,2015-07-02T12:04:32.147178,88
LOAD_TRAIN,96,-1,2015-07-05T18:06:12.278773,88
DEPART_TRAIN,23,-120,2015-07-06T12:57:08.912615,88
UNLOAD_SHIP,-253,-1,2015-01-25T15:03:13.153714,89
NOISE,66,-11,2015-01-26T05:40:07.153714,89
LOAD_TRAIN,69,-36,2015-01-28T12:38:24.258487,89
DEPART_TRAIN,-19,-102,2015-01-29T06:21:43.115167,89
UNLOAD_SHIP,-280,8,2015-12-19T02:49:46.768168,90
NOISE,91,18,2015-12-20T09:46:48.768168,90
NOISE,6,-109,2015-12-21T19:33:21.768168,90
LOAD_TRAIN,117,-37,2015-12-21T20:50:31.904517,90
DEPART_TRAIN,14,-103,2015-12-23T01:12:47.430517,90
NOISE,13,89,2015-03-08T16:54:01.489317,91
